dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,quant_s
16,4,coinfection,N+P,2,3,51,300.7324048771454,15337.352648734417,P,12/15/15,1/6/16,1/7/16,1/7/16,0,0,NA,NA,PAV ctrl didn't show up,shoot,2.4.coinfection.N+P.3.P,1,1,0,1,1,0,0,-0.01958208659898354,-0.23751455644353017
16,4,PAV,low,2,3,65.4,156.00174849966177,10202.51435187788,low,2/23/16,2/26/16,2/26/16,2/26/16,1,0,NA,NA,RT ctrl positive for RPV,shoot,2.4.PAV.low.3.low,0,0,0,0,0,1,1,-0.331123044865402,-0.29836604679281026
16,4,PAV,low,2,3,65.4,156.00174849966177,10202.51435187788,P,2/23/16,2/26/16,2/26/16,2/26/16,0,0,NA,NA,RT ctrl positive for RPV,shoot,2.4.PAV.low.3.P,0,0,0,1,0,0,0,-0.331123044865402,-0.29836604679281026
16,4,PAV,P,4,5,153.5,191.62506618258573,29414.447659026908,low,2/22/16,2/26/16,2/26/16,2/26/16,1,0,NA,NA,RT ctrl positive for RPV,shoot,4.4.PAV.P.5.low,0,1,0,0,0,1,1,-0.2544418302192024,-0.07069095623607749
16,4,PAV,P,4,5,153.5,191.62506618258573,29414.447659026908,N,2/22/16,2/26/16,2/26/16,2/26/16,1,0,NA,NA,RT ctrl positive for RPV,shoot,4.4.PAV.P.5.N,0,1,1,0,0,1,1,-0.2544418302192024,-0.07069095623607749
16,4,PAV,P,4,5,153.5,191.62506618258573,29414.447659026908,N+P,2/22/16,2/26/16,2/26/16,2/26/16,1,0,NA,NA,RT ctrl positive for RPV,shoot,4.4.PAV.P.5.N+P,0,1,1,1,0,1,1,-0.2544418302192024,-0.07069095623607749
16,4,PAV,P,4,5,153.5,191.62506618258573,29414.447659026908,P,2/22/16,2/26/16,2/26/16,2/26/16,1,0,NA,NA,RT ctrl positive for RPV,shoot,4.4.PAV.P.5.P,0,1,0,1,0,1,1,-0.2544418302192024,-0.07069095623607749
16,4,PAV,N+P,2,3,154.79999999999998,124.63197067929325,19293.029061154593,low,8/18/15,8/19/15,8/21/15,8/21/15,1,0,NA,NA,NA,shoot,2.4.PAV.N+P.3.low,1,1,0,0,0,1,1,-0.3986482733648332,-0.19063697410902528
16,4,PAV,N+P,2,3,154.79999999999998,124.63197067929325,19293.029061154593,N+P,8/18/15,8/19/15,8/21/15,8/21/15,1,0,NA,NA,NA,shoot,2.4.PAV.N+P.3.N+P,1,1,1,1,0,1,1,-0.3986482733648332,-0.19063697410902528
16,4,PAV,N+P,2,3,154.79999999999998,124.63197067929325,19293.029061154593,P,8/18/15,8/19/15,8/21/15,8/21/15,1,0,NA,NA,NA,shoot,2.4.PAV.N+P.3.P,1,1,0,1,0,1,1,-0.3986482733648332,-0.19063697410902528
16,4,PAV,N+P,4,5,116.1,86.29975007807843,10019.400984064905,low,2/11/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.4.PAV.N+P.5.low,1,1,0,0,0,1,1,-0.4811605554029605,-0.3005360705968932
16,4,PAV,N+P,4,5,116.1,86.29975007807843,10019.400984064905,N,2/11/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.4.PAV.N+P.5.N,1,1,1,0,0,0,0,-0.4811605554029605,-0.3005360705968932
16,4,PAV,N+P,4,5,116.1,86.29975007807843,10019.400984064905,N+P,3/28/16,4/1/16,4/1/16,4/4/16,0,0,NA,NA,NA,shoot,4.4.PAV.N+P.5.N+P,1,1,1,1,0,0,0,-0.4811605554029605,-0.3005360705968932
