target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass_g,root_mass_g,leaf_area_mm2,leaves,mass_ext_mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero
PAV,8,2,RPV,0,0,low,1,1,12RPVlow1shoot,0.109,0.0111,432.066,2,45.8,2800,56.15578587,-3.476488848,2800,54.27998251,-3.679332379,7,NaN,NaN,0,1
PAV,8,2,RPV,0,0,low,1,2,12RPVlow2shoot,0.0919,0.0151,477.714,2,46.9,28000,56.24501307,-3.521278762,28000,46.31349642,-2.748257001,11,NaN,NaN,0,1
PAV,8,2,RPV,0,0,low,2,3,22RPVlow3shoot,0.2339,0.0239,1122.259,2,46.4,280000,55.57067802,-3.193670273,2800,53.18558748,-3.402296224,8,NaN,NaN,0,1
PAV,8,2,RPV,0,0,low,3,4,32RPVlow4shoot,0.3012,0.0359,1391.601,2,48.4,28000,56.24501307,-3.521278762,28000,46.31349642,-2.748257001,11,NaN,NaN,0,1
PAV,8,2,RPV,0,0,low,4,5,42RPVlow5shoot,0.2187,0.0146,1157.4,2,47.3,28000,56.24501307,-3.521278762,28000,46.31349642,-2.748257001,11,NaN,NaN,0,1
PAV,8,2,RPV,0,1,P,1,1,12RPVP1shoot,0.0716,0.0126,495.738,2,45.1,28000,56.24501307,-3.521278762,28000,46.31349642,-2.748257001,11,NaN,NaN,0,1
PAV,8,2,RPV,0,1,P,1,2,12RPVP2shoot,0.2276,0.0442,1158.353,2,48.9,2800,56.11142245,-3.70568327,2800,53.03886485,-3.73610792,5,NaN,NaN,0,1
PAV,8,2,RPV,0,1,P,2,3,22RPVP3shoot,0.2217,0.0244,1098.683,2,49.3,28000,56.83531523,-3.627224161,28000,54.45065656,-3.862301743,6,NaN,NaN,0,1
PAV,8,2,RPV,0,1,P,3,4,32RPVP4shoot,0.1436,0.0168,693.582,2,50,2800,53.91588389,-3.35283923,2800,54.45703352,-3.645049392,9,NaN,NaN,0,1
PAV,8,2,RPV,0,1,P,4,5,42RPVP5shoot,0.275,0.0176,1359.636,2,47.7,1000,54.25433097,-3.446498914,1000,49.17542606,-2.921595272,2,NaN,NaN,0,1
PAV,8,2,RPV,1,0,N,1,1,12RPVN1shoot,0.2257,0.0204,1306.745,2,46.5,2800,56.15578587,-3.476488848,2800,54.27998251,-3.679332379,7,NaN,NaN,0,1
PAV,8,2,RPV,1,0,N,1,2,12RPVN2shoot,0.1593,0.011,854.083,2,50.1,2800,55.02693597,-3.267628832,28000,55.29529585,-3.828070322,10,NaN,NaN,0,1
PAV,8,2,RPV,1,0,N,2,3,22RPVN3shoot,0.2552,0.0204,1299.664,2,50.9,28000,56.24501307,-3.521278762,28000,46.31349642,-2.748257001,11,NaN,NaN,0,1
PAV,8,2,RPV,1,1,N+P,1,1,12RPVN+P1shoot,0.1509,0.0231,935.258,2,49,2800,53.91588389,-3.35283923,2800,54.45703352,-3.645049392,9,NaN,NaN,0,1
PAV,8,2,RPV,1,1,N+P,1,2,12RPVN+P2shoot,0.1214,0.0153,669.243,2,48.2,28000,56.83531523,-3.627224161,28000,54.45065656,-3.862301743,6,49.68257523,93.74750876,0,1
PAV,8,2,RPV,1,1,N+P,2,3,22RPVN+P3shoot,0.0483,0.011,104.752,1,20,280000,55.57067802,-3.193670273,2800,53.18558748,-3.402296224,8,NaN,NaN,0,1
PAV,8,2,RPV,1,1,N+P,3,4,32RPVN+P4shoot,0.2798,0.0195,1426.244,2,46.4,28000,56.24501307,-3.521278762,28000,46.31349642,-2.748257001,11,NaN,NaN,0,1
PAV,8,2,RPV,1,1,N+P,4,5,42RPVN+P5shoot,0.2578,0.0229,1091.112,2,52.8,2800,56.11142245,-3.70568327,2800,53.03886485,-3.73610792,5,NaN,NaN,0,1
PAV,12,3,coinfection,0,0,low,1,2,13coinfectionlow2shoot,0.2257,0.0272,1268.303,2,47.9,2800,48.985077,-3.008881526,2800,51.57720036,-3.526047897,22,37.62969462,5942.300839,5942.300839,0
PAV,12,3,coinfection,0,0,low,2,3,23coinfectionlow3shoot,0.1491,0.0118,932.578,2,49.8,2800,50.87939655,-3.364814314,2800,51.71905654,-3.58935585,18,39.82151795,1933.421508,0,1
PAV,12,3,coinfection,0,0,low,3,4,33coinfectionlow4shoot,0.2131,0.0176,954.625,2,49.2,2800,52.87949485,-3.458342489,28000,54.97219011,-3.370307922,20,42.55508423,966.8605531,0,1
PAV,12,3,coinfection,0,0,low,4,5,43coinfectionlow5shoot,0.1822,0.0113,964.051,2,48.4,2800,49.79686006,-3.144371796,2800,52.89612035,-3.471252031,19,35.57783127,33270.32904,33270.32904,0
PAV,12,3,coinfection,0,0,low,5,6,53coinfectionlow6shoot,0.2196,0.0148,NA,NA,49.9,2800,53.29624884,-3.534526507,2800,51.22451032,-3.509619396,38,NaN,NaN,0,1
