dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,conc_r,conc_r_s
26,7,coinfection,low,2,3,52.3,165.33145656382808,8646.83517828821,P,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.7.coinfection.low.3.P,0,0,0,1,1,1,1,-0.4106201162651708,2177.571766912122,-0.6985376423739192
26,7,coinfection,low,4,5,115.7,90.35282826295354,10453.822230023725,low,2/8/16,2/12/16,2/12/16,2/12/16,0.5,1,NA,NA,NA,shoot,4.7.coinfection.low.5.low,0,0,0,0,1,1,0,-0.5357256227770374,11280.102198018496,-0.45732055994803533
26,7,coinfection,low,4,5,115.7,90.35282826295354,10453.822230023725,N,2/8/16,2/12/16,2/12/16,2/12/16,0.5,0.5,NA,NA,NA,shoot,4.7.coinfection.low.5.N,0,0,1,0,1,1,0,-0.5357256227770374,11280.102198018496,-0.45732055994803533
26,7,coinfection,low,4,5,115.7,90.35282826295354,10453.822230023725,N+P,2/8/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.7.coinfection.low.5.N+P,0,0,1,1,1,0,0,-0.5357256227770374,11280.102198018496,-0.45732055994803533
26,7,coinfection,low,4,5,115.7,90.35282826295354,10453.822230023725,P,2/8/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.7.coinfection.low.5.P,0,0,0,1,1,1,1,-0.5357256227770374,11280.102198018496,-0.45732055994803533
26,7,coinfection,P,4,5,153.10000000000002,234.41940167839542,35889.610396962344,low,2/8/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.7.coinfection.P.5.low,0,1,0,0,1,0,0,-0.295343502604833,877.7642769556354,-0.7329825445706928
26,7,coinfection,P,4,5,153.10000000000002,234.41940167839542,35889.610396962344,N,2/8/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.7.coinfection.P.5.N,0,1,1,0,1,0,0,-0.295343502604833,877.7642769556354,-0.7329825445706928
26,7,coinfection,P,4,5,153.10000000000002,234.41940167839542,35889.610396962344,N+P,2/8/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.7.coinfection.P.5.N+P,0,1,1,1,1,0,0,-0.295343502604833,877.7642769556354,-0.7329825445706928
26,7,coinfection,P,4,5,153.10000000000002,234.41940167839542,35889.610396962344,P,2/8/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.7.coinfection.P.5.P,0,1,0,1,1,0,0,-0.295343502604833,877.7642769556354,-0.7329825445706928
26,7,coinfection,N,4,5,92,760.3490693565368,69952.11438080139,low,2/8/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.7.coinfection.N.5.low,1,0,0,0,1,0,0,0.5821958570172491,13825.155419997986,-0.3898766422955821
